"","Rank0","Kingdom","Phylum","Class","Order","Family","Genus","OTU"
"Otu000129","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__25","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__25::Otu000129"
"Otu000318","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Marvinbryantia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Marvinbryantia::Otu000318"
"Otu000160","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Marvinbryantia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Marvinbryantia::Otu000160"
"Otu000130","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__26","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__26::Otu000130"
"Otu000373","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__27","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__27::Otu000373"
"Otu000048","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae::g__28","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae::g__28::Otu000048"
"Otu000133","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae::g__29","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae::g__29::Otu000133"
"Otu000135","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae::Anaerotruncus","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae::Anaerotruncus::Otu000135"
"Otu000254","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae::Anaerotruncus","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae::Anaerotruncus::Otu000254"
"Otu000190","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae::g__30","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Ruminococcaceae::g__30::Otu000190"
